# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std increment_std_rel_error checkpoint_selection_score
3.156536146998405179e-02 4.025536216795444489e-02 -5.646275356411933899e-03 2.591908629983663732e-03 -4.732724726200103482e-02 -4.168097190558910092e-02 3.546374663710594177e-02 4.281450062990188599e-02 2.072751666034498841e-01 2.155133505898454704e-01
2.892072647809982439e-02 3.900380060076713562e-02 -7.529866322875023235e-03 2.139086020179092884e-03 -4.777780100703239718e-02 -4.024793468415736875e-02 3.546341359615325789e-02 4.307721108198166171e-02 2.146944333198534394e-01 2.243633856629075607e-01
2.514318637549877236e-02 3.776192478835582733e-02 -7.666837424039840698e-03 1.747634890489280267e-03 -4.818637818098068376e-02 -4.051954075694084306e-02 3.546354770660400252e-02 4.345113337039947787e-02 2.252336886781013681e-01 2.346481609926305001e-01
2.358594853430986266e-02 3.849340789020061493e-02 -9.121131896972656944e-03 1.446481666062027259e-03 -4.855834022164344510e-02 -3.943720832467079163e-02 3.546350710093974790e-02 4.391857497394084653e-02 2.384160102580105967e-01 2.489836238210453023e-01
2.192528676241636137e-02 3.882083110511302948e-02 -1.009322404861450265e-02 1.183206296991556796e-03 -4.889938645064830641e-02 -3.880616240203380723e-02 3.546357788145541867e-02 4.426923952996730804e-02 2.483015582268205401e-01 2.595779885724265879e-01
2.125006057322025368e-02 3.966105543076992035e-02 -1.146517880260944366e-02 9.784881433006376462e-04 -4.920564256608486037e-02 -3.774046376347541670e-02 3.546371571719646176e-02 4.464207924902439256e-02 2.588099793253899050e-01 2.712536462712999974e-01
2.011840287595987459e-02 3.968605212867259979e-02 -1.203815191984176566e-02 8.080251340288668654e-04 -4.948494136333465854e-02 -3.744678944349288940e-02 3.546340130269527713e-02 4.489185288548469543e-02 2.658642779931821298e-01 2.787104550470527742e-01
1.937308274209499290e-02 3.538832068443298340e-02 -1.270067282021045650e-02 6.672410177998244979e-04 -4.973476827144622525e-02 -3.703409545123577395e-02 3.546309731900691709e-02 4.529112577438354492e-02 2.771339560865720419e-01 2.905018699245823233e-01
2.015977948904037337e-02 3.454599715769290924e-02 -1.456868983805179561e-02 5.591089662630111196e-04 -4.996072612702846805e-02 -3.539203628897667070e-02 3.546340204775333405e-02 4.566942900419235229e-02 2.877904083316168427e-01 3.029182071359316497e-01
1.947098430246114661e-02 3.368620388209819794e-02 -1.479070819914340973e-02 4.680275946157052896e-04 -5.016331486403942386e-02 -3.537260666489601413e-02 3.546360991895199100e-02 4.612749181687832156e-02 3.006992779921928149e-01 3.159580137859519522e-01
2.092792652547359467e-02 3.336139023303985596e-02 -1.692043058574199677e-02 4.007495706900954355e-04 -5.034409575164318362e-02 -3.342366516590118686e-02 3.546339161694049558e-02 4.651201628148556033e-02 3.115501411589663427e-01 3.288713213153984238e-01
2.005058676004409929e-02 3.425263054668903351e-02 -1.672671604901552339e-02 3.323870681924745224e-04 -5.050705820322036466e-02 -3.378034215420484820e-02 3.546330370008945326e-02 4.672331176698207855e-02 3.175115370468632459e-01 3.345706401640712868e-01
2.123754266649484704e-02 2.961213793605566025e-02 -1.833561118692159791e-02 2.901931584347039461e-04 -5.064963884651661058e-02 -3.231402765959501266e-02 3.546365499496460100e-02 4.717804528772830824e-02 3.303210087650775284e-01 3.489468131104338511e-01
